dataset,component,region,relative_l2,rms_T,ref_rms_T
FEMM slotless benchmark,Br_T,left_edge_0_12deg,0.05447706262037028,0.3054557464371094,0.3172548187214888
FEMM slotless benchmark,Br_T,middle_12_48deg,0.12271444833033843,0.6266182014216648,0.6056636159080826
FEMM slotless benchmark,Br_T,right_edge_48_60deg,0.054685625494226425,0.3057276253527146,0.31789740422092444
FEMM slotless benchmark,Br_T,all_0_60deg,0.11487577112601578,0.5228216083135656,0.5106783515674461
FEMM slotless benchmark,Bt_T,left_edge_0_12deg,0.1988763617353556,0.04990197566462107,0.05240905585444809
FEMM slotless benchmark,Bt_T,middle_12_48deg,0.9840260982588218,0.003421269719221025,0.04661303110462274
FEMM slotless benchmark,Bt_T,right_edge_48_60deg,0.2003412960194373,0.05014064320820848,0.05258885408825809
FEMM slotless benchmark,Bt_T,all_0_60deg,0.7376808244799201,0.031694979912558735,0.049044356411385194
subdomain slotless,Br_T,left_edge_0_12deg,0.3766788267483166,0.3599542971720558,0.3172548187214888
subdomain slotless,Br_T,middle_12_48deg,0.12258856039433785,0.6257075148215173,0.6056636159080826
subdomain slotless,Br_T,right_edge_48_60deg,0.3751872913467412,0.3599542971720555,0.31789740422092444
subdomain slotless,Br_T,all_0_60deg,0.18574150005618814,0.5357992829643575,0.5106783515674461
subdomain slotless,Bt_T,left_edge_0_12deg,0.5842284773953333,0.04233117074095021,0.05240905585444809
subdomain slotless,Bt_T,middle_12_48deg,0.9690880930937805,0.006819198147104092,0.04661303110462274
subdomain slotless,Bt_T,right_edge_48_60deg,0.5866979304618161,0.04233117074095022,0.05258885408825809
subdomain slotless,Bt_T,all_0_60deg,0.8165213387035505,0.02724614799960994,0.049044356411385194
analytical-only S2 + closed-form slotting,Br_T,left_edge_0_12deg,0.35010236805815825,0.371837713073578,0.3172548187214888
analytical-only S2 + closed-form slotting,Br_T,middle_12_48deg,0.04323152558789689,0.6248282080095932,0.6056636159080826
analytical-only S2 + closed-form slotting,Br_T,right_edge_48_60deg,0.3485935914791907,0.37183771307357766,0.31789740422092444
analytical-only S2 + closed-form slotting,Br_T,all_0_60deg,0.14281792953876063,0.5384111502710212,0.5106783515674461
analytical-only S2 + closed-form slotting,Bt_T,left_edge_0_12deg,0.6231807664812075,0.04359716349267673,0.05240905585444809
analytical-only S2 + closed-form slotting,Bt_T,middle_12_48deg,0.3973468923742246,0.034668335390877665,0.04661303110462274
analytical-only S2 + closed-form slotting,Bt_T,right_edge_48_60deg,0.6218955087648174,0.043597163492676734,0.05258885408825809
analytical-only S2 + closed-form slotting,Bt_T,all_0_60deg,0.5126397875051701,0.03847716842151492,0.049044356411385194
