objective,Br_L2,Bt_L2,lambda_drop,lambda_b_gain,width_scale,edge_width_deg,edge_bt_gain
0.4005431078121253,0.04697349204347662,0.3535696157686487,0.3,0.12,1.0,12.5,0.06000000000000001
0.4005487202671285,0.04769175566125719,0.3528569646058713,0.28,0.12,1.0,12.5,0.06000000000000001
0.4019861849318659,0.04970817833251169,0.3522780065993542,0.26,0.12,1.0,12.5,0.06000000000000001
0.4020793089219486,0.04765958839803761,0.35441972052391096,0.32,0.12,1.0,12.5,0.06000000000000001
0.40320248224592564,0.04771884801725825,0.3554836342286674,0.28,0.14,1.0,12.5,0.06000000000000001
0.403221139994971,0.04700130814777778,0.3562198318471932,0.3,0.14,1.0,12.5,0.06000000000000001
0.40391220561642316,0.045323911133060106,0.35858829448336305,0.28,0.12,1.0,12.0,0.06000000000000001
0.40404764390407805,0.04499096307151806,0.35905668083256,0.3,0.12,1.0,12.0,0.06000000000000001
0.4046142652009039,0.04973388289740059,0.3548803823035033,0.26,0.14,1.0,12.5,0.06000000000000001
0.4046621172457311,0.052833161977760966,0.35182895526797014,0.24,0.12,1.0,12.5,0.06000000000000001
0.40478000441970335,0.0476873131069489,0.35709269131275445,0.32,0.14,1.0,12.5,0.06000000000000001
0.4051499423401923,0.049738937237462776,0.35541100510272955,0.33999999999999997,0.12,1.0,12.5,0.06000000000000001
0.4052992129051011,0.047051356398775016,0.3582478565063261,0.26,0.12,1.0,12.0,0.06000000000000001
0.4057889801585359,0.046132068141430005,0.35965691201710587,0.32,0.12,1.0,12.0,0.06000000000000001
0.40639844651679546,0.05285089300675619,0.35354755351003925,0.3,0.12,1.0,13.0,0.06000000000000001
0.4064400749934447,0.0538730195056554,0.35256705548778927,0.28,0.12,1.0,13.0,0.06000000000000001
0.40656966404769557,0.04537446738750208,0.3611951966601935,0.28,0.14,1.0,12.0,0.06000000000000001
0.40672959250530305,0.04504210715071589,0.36168748535458717,0.3,0.14,1.0,12.0,0.06000000000000001
0.4072634128943987,0.052857077694475424,0.3544063351999233,0.24,0.14,1.0,12.5,0.06000000000000001
0.40773361157442156,0.053064793189855325,0.35466881838456626,0.32,0.12,1.0,13.0,0.06000000000000001
0.4077473862924937,0.05602359447919268,0.351723791813301,0.26,0.12,1.0,13.0,0.06000000000000001
