dataset,component,region,relative_l2,rms_T,ref_rms_T
FEMM slotless benchmark,Br_T,left_edge_0_12deg,0.05447706262037028,0.3054557464371094,0.3172548187214888
FEMM slotless benchmark,Br_T,middle_12_48deg,0.12271444833033843,0.6266182014216648,0.6056636159080826
FEMM slotless benchmark,Br_T,right_edge_48_60deg,0.054685625494226425,0.3057276253527146,0.31789740422092444
FEMM slotless benchmark,Br_T,all_0_60deg,0.11487577112601578,0.5228216083135656,0.5106783515674461
FEMM slotless benchmark,Bt_T,left_edge_0_12deg,0.1988763617353556,0.04990197566462107,0.05240905585444809
FEMM slotless benchmark,Bt_T,middle_12_48deg,0.9840260982588218,0.003421269719221025,0.04661303110462274
FEMM slotless benchmark,Bt_T,right_edge_48_60deg,0.2003412960194373,0.05014064320820848,0.05258885408825809
FEMM slotless benchmark,Bt_T,all_0_60deg,0.7376808244799201,0.031694979912558735,0.049044356411385194
subdomain slotless,Br_T,left_edge_0_12deg,0.37667882674831654,0.35995429717205574,0.3172548187214888
subdomain slotless,Br_T,middle_12_48deg,0.12258856039433787,0.6257075148215173,0.6056636159080826
subdomain slotless,Br_T,right_edge_48_60deg,0.37518729134674134,0.35995429717205546,0.31789740422092444
subdomain slotless,Br_T,all_0_60deg,0.18574150005618814,0.5357992829643576,0.5106783515674461
subdomain slotless,Bt_T,left_edge_0_12deg,0.5842284773953333,0.042331170740950205,0.05240905585444809
subdomain slotless,Bt_T,middle_12_48deg,0.9690880930937805,0.006819198147104093,0.04661303110462274
subdomain slotless,Bt_T,right_edge_48_60deg,0.586697930461816,0.04233117074095022,0.05258885408825809
subdomain slotless,Bt_T,all_0_60deg,0.8165213387035505,0.02724614799960994,0.049044356411385194
subdomain + FEMM-derived slotting,Br_T,left_edge_0_12deg,0.3452556860549051,0.3712331528868716,0.3172548187214888
subdomain + FEMM-derived slotting,Br_T,middle_12_48deg,0.03756782690029334,0.6222829383878034,0.6056636159080826
subdomain + FEMM-derived slotting,Br_T,right_edge_48_60deg,0.3443632216888289,0.37185034642607045,0.31789740422092444
subdomain + FEMM-derived slotting,Br_T,all_0_60deg,0.1397289536529377,0.5365539424022302,0.5106783515674461
subdomain + FEMM-derived slotting,Bt_T,left_edge_0_12deg,0.6910009031666481,0.046451695013470594,0.05240905585444809
subdomain + FEMM-derived slotting,Bt_T,middle_12_48deg,0.17066631372590135,0.05283897082955684,0.04661303110462274
subdomain + FEMM-derived slotting,Bt_T,right_edge_48_60deg,0.728452457299201,0.04404387562405031,0.05258885408825809
subdomain + FEMM-derived slotting,Bt_T,all_0_60deg,0.49611061864057254,0.0499568439906657,0.049044356411385194
