dataset,component,region,relative_l2,rms_T,ref_rms_T
FEMM slotless benchmark,Br_T,left_edge_0_12deg,0.05447706262037028,0.3054557464371094,0.3172548187214888
FEMM slotless benchmark,Br_T,middle_12_48deg,0.12271444833033843,0.6266182014216648,0.6056636159080826
FEMM slotless benchmark,Br_T,right_edge_48_60deg,0.054685625494226425,0.3057276253527146,0.31789740422092444
FEMM slotless benchmark,Br_T,all_0_60deg,0.11487577112601578,0.5228216083135656,0.5106783515674461
FEMM slotless benchmark,Bt_T,left_edge_0_12deg,0.1988763617353556,0.04990197566462107,0.05240905585444809
FEMM slotless benchmark,Bt_T,middle_12_48deg,0.9840260982588218,0.003421269719221025,0.04661303110462274
FEMM slotless benchmark,Bt_T,right_edge_48_60deg,0.2003412960194373,0.05014064320820848,0.05258885408825809
FEMM slotless benchmark,Bt_T,all_0_60deg,0.7376808244799201,0.031694979912558735,0.049044356411385194
subdomain slotless,Br_T,left_edge_0_12deg,0.27149711031517215,0.29851889082625255,0.3172548187214888
subdomain slotless,Br_T,middle_12_48deg,0.1184017936145525,0.5941645755143079,0.6056636159080826
subdomain slotless,Br_T,right_edge_48_60deg,0.27126925075367603,0.29851889082625227,0.31789740422092444
subdomain slotless,Br_T,all_0_60deg,0.15235629683658122,0.4978102636183997,0.5106783515674461
subdomain slotless,Bt_T,left_edge_0_12deg,0.493189790416748,0.036945208800948315,0.05240905585444809
subdomain slotless,Bt_T,middle_12_48deg,0.9681271255734364,0.009569380120443704,0.04661303110462274
subdomain slotless,Bt_T,right_edge_48_60deg,0.4964848055204565,0.03694520880094832,0.05258885408825809
subdomain slotless,Bt_T,all_0_60deg,0.7880185215362087,0.024479195444830383,0.049044356411385194
subdomain + FEMM-derived slotting,Br_T,left_edge_0_12deg,0.22266825353721226,0.30966042062866256,0.3172548187214888
subdomain + FEMM-derived slotting,Br_T,middle_12_48deg,0.047229208607798175,0.5911986875643098,0.6056636159080826
subdomain + FEMM-derived slotting,Br_T,right_edge_48_60deg,0.2218867307444031,0.3102682220675427,0.31789740422092444
subdomain + FEMM-derived slotting,Br_T,all_0_60deg,0.09748880132969617,0.4984751915835704,0.5106783515674461
subdomain + FEMM-derived slotting,Bt_T,left_edge_0_12deg,0.5510375950320393,0.03918389512807015,0.05240905585444809
subdomain + FEMM-derived slotting,Bt_T,middle_12_48deg,0.15657134935885558,0.05070080738214897,0.04661303110462274
subdomain + FEMM-derived slotting,Bt_T,right_edge_48_60deg,0.5884646570501291,0.036711271900104946,0.05258885408825809
subdomain + FEMM-derived slotting,Bt_T,all_0_60deg,0.40224192026774575,0.046048480001369074,0.049044356411385194
