dataset,component,harmonic,cos_coeff_T,sin_coeff_T,magnitude_T
slotless FEMM,Br_T,0,0.46882796663962956,0.0,0.46882796663962956
slotless FEMM,Br_T,1,-0.27403969135257084,-7.567361561703247e-05,0.2740397018008675
slotless FEMM,Br_T,2,-0.1705653279918016,-5.749168035307148e-05,0.1705653376810311
slotless FEMM,Br_T,3,-0.06102621862417112,2.640506740574296e-05,0.06102622433669573
slotless FEMM,Br_T,4,0.007964239705294916,6.995638083638908e-05,0.007964546941202355
slotless FEMM,Br_T,5,0.025420523631729825,2.5595435966288374e-05,0.025420536517502472
slotless FEMM,Br_T,6,0.011883185812086656,-4.815946932700658e-05,0.011883283400603701
slotless FEMM,Br_T,7,-0.004522734298068196,-6.798521769189936e-05,0.004523245242162648
slotless FEMM,Br_T,8,-0.009029418585808845,-2.6046965320695192e-05,0.009029456154284854
slotless FEMM,Br_T,9,-0.0037504603552668417,2.3235794715580677e-05,0.003750532332694167
slotless FEMM,Br_T,10,0.00233260379474492,3.818115190098201e-05,0.002332916257309483
slotless FEMM,Br_T,11,0.003889954664664979,3.568374654188346e-05,0.003890118330194609
slotless FEMM,Br_T,12,0.0018864369923035423,4.4138616986236695e-05,0.00188695329657114
slotless FEMM,Br_T,13,-0.0001921981106049836,6.632669903010367e-05,0.00020332079265130622
slotless FEMM,Br_T,14,-0.0005325204137464031,6.077306091414326e-05,0.0005359770106912372
slotless FEMM,Br_T,15,0.0002426281433090507,4.768629759751293e-06,0.00024267500026863673
slotless FEMM,Br_T,16,0.0007976224632910793,-8.101128644667207e-05,0.0008017259023371229
slotless FEMM,Br_T,17,0.000680717224235545,-0.00014799759021497677,0.0006966198576557988
slotless FEMM,Br_T,18,0.0002964916538922789,-0.00015972610967293643,0.0003367784597313638
slotless FEMM,Br_T,19,0.00010583998240499112,-0.00010198641249618777,0.00014698071373255538
slotless FEMM,Br_T,20,0.00011162379963319962,-2.07441735344472e-05,0.00011353498747161579
slotless FEMM,Br_T,21,5.9119330404399445e-05,5.191142533550888e-05,7.867586229478938e-05
slotless FEMM,Br_T,22,-0.00011556513912392742,9.288355733240227e-05,0.0001482654936371048
slotless FEMM,Br_T,23,-0.0002564514012271017,0.00010646017051395358,0.0002776708286752571
slotless FEMM,Br_T,24,-0.0002186247718523645,9.286701126867319e-05,0.00023753120352802977
slotless FEMM,Br_T,25,-6.82925629693248e-05,8.766810002594098e-05,0.00011112861881206653
slotless FEMM,Br_T,26,3.6426240297277614e-05,6.163868756235335e-05,7.159747751565291e-05
slotless FEMM,Br_T,27,-4.446822613065522e-06,2.4480531127126634e-05,2.488113011135722e-05
slotless FEMM,Br_T,28,-8.945711616309975e-05,-3.297919496184442e-05,9.534255572696626e-05
slotless FEMM,Br_T,29,-9.628024164981289e-05,-7.796799723238774e-05,0.0001238906514817643
slotless FEMM,Br_T,30,-1.8073104528647465e-05,-8.843682882206575e-05,9.026466528718078e-05
slotless FEMM,Br_T,31,5.181294026183386e-05,-7.12384981358693e-05,8.808804910560012e-05
slotless FEMM,Br_T,32,3.9527714338982595e-05,-3.0376867681724727e-05,4.9851723049632125e-05
slotless FEMM,Br_T,33,-2.60114601048243e-05,8.561356283816284e-06,2.7384172037936564e-05
slotless FEMM,Br_T,34,-5.2343181278501084e-05,2.4056770786825335e-05,5.7606743069226535e-05
slotless FEMM,Br_T,35,4.617116664676402e-06,2.996812621677262e-05,3.032171425298456e-05
slotless FEMM,Br_T,36,7.262594497551982e-05,2.9131934874687534e-05,7.82508626989522e-05
slotless FEMM,Br_T,37,8.258148416565105e-05,3.54318406535196e-05,8.986165399711982e-05
slotless FEMM,Br_T,38,2.899553425403952e-05,2.998249723334132e-05,4.1709604973249254e-05
slotless FEMM,Br_T,39,-2.102073302796681e-05,1.2892244231740676e-05,2.4659302065628406e-05
slotless FEMM,Br_T,40,-2.40716567814917e-05,-1.1018754266194879e-05,2.6473715375532828e-05
