case,field_csv,current_angle_deg,current_rms_a,torque_sector_Nm,torque_total_Nm
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,120.0,17.6,1.6700319712345222,10.020191827407134
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,122.5,17.6,1.7465924816397056,10.479554889838234
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,125.0,17.6,1.8198282539862607,10.918969523917564
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,127.5,17.6,1.8895998798190758,11.337599278914455
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,130.0,17.6,1.9557745448828192,11.734647269296914
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,132.5,17.6,2.0182262819414203,12.109357691648523
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,135.0,17.6,2.076836210563863,12.461017263383177
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,137.5,17.6,2.131492763419842,12.788956580519052
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,140.0,17.6,2.182091898654524,13.092551391927143
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,142.5,17.6,2.2285372979381206,13.371223787628724
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,145.0,17.6,2.2707405498133126,13.624443298879875
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,147.5,17.6,2.3086213179914785,13.85172790794887
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,150.0,17.6,2.34210749427739,14.05264496566434
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,152.5,17.6,2.3711353358312564,14.226812014987537
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,155.0,17.6,2.3956495865068455,14.373897519041073
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,157.5,17.6,2.415603582034698,14.493621492208188
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,160.0,17.6,2.4309593388502146,14.585756033101287
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,162.5,17.6,2.441687626397534,14.650125758385203
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,165.0,17.6,2.4477680227715517,14.68660813662931
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,167.5,17.6,2.4491889535921847,14.695133721553109
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,170.0,17.6,2.445947714036856,14.675686284221136
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,120.0,17.6,1.6225379673816203,9.735227804289721
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,122.5,17.6,1.6968939458275012,10.181363674965008
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,125.0,17.6,1.7680197902023518,10.60811874121411
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,127.5,17.6,1.8357801084188756,11.014680650513254
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,130.0,17.6,1.9000459148601043,11.400275489160625
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,132.5,17.6,1.9606948759108467,11.764169255465081
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,135.0,17.6,2.0176115428266805,12.105669256960084
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,137.5,17.6,2.0706875714972006,12.424125428983203
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,140.0,17.6,2.119821928685188,12.718931572111128
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,142.5,17.6,2.1649210843491207,12.989526506094723
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,145.0,17.6,2.2058991896829245,13.235395138097548
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,147.5,17.6,2.242678240534053,13.456069443204317
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,150.0,17.6,2.275188225888826,13.651129355332955
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,152.5,17.6,2.3033672611423746,13.820203566854246
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,155.0,17.6,2.3271617058995018,13.96297023539701
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,157.5,17.6,2.3465262660822246,14.079157596493348
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,160.0,17.6,2.3614240801496256,14.168544480897754
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,162.5,17.6,2.371826789265891,14.230960735595346
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,165.0,17.6,2.3777145912829662,14.266287547697797
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,167.5,17.6,2.3790762784350714,14.274457670610428
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,170.0,17.6,2.375909258673321,14.255455552039926
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,120.0,17.6,1.651682483882824,9.910094903296944
Br-best analytical,results/paper5_analytical_only_pole_edge_drive_closed_form_compare/pole_edge_corrected_br_bt.csv,122.5,17.6,1.7277367777024168,10.366420666214502
