case,field_csv,current_angle_deg,current_rms_a,torque_sector_Nm,torque_total_Nm
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,0.0,17.6,-2.38661720564175,-14.3197032338505
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,2.5,17.6,-2.3603343916419237,-14.162006349851541
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,5.0,17.6,-2.329558546974969,-13.977351281849813
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,7.5,17.6,-2.2943482552103958,-13.766089531262374
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,10.0,17.6,-2.254770541139799,-13.528623246838794
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,12.5,17.6,-2.2109007431913623,-13.265404459148174
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,15.0,17.6,-2.162822370018878,-12.976934220113268
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,17.5,17.6,-2.1106269415382752,-12.663761649229652
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,20.0,17.6,-2.054413814714261,-12.326482888285568
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,22.5,17.6,-1.9942899944286903,-11.96573996657214
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,25.0,17.6,-1.9303699297906904,-11.582219578744143
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,27.5,17.6,-1.8627752962762805,-11.176651777657682
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,30.0,17.6,-1.7916347641121815,-10.749808584673088
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,32.5,17.6,-1.7170837533447318,-10.30250252006839
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,35.0,17.6,-1.63926417606013,-9.835585056360781
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,37.5,17.6,-1.5583241662467118,-9.349944997480272
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,40.0,17.6,-1.4744177978134885,-8.84650678688093
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,42.5,17.6,-1.3877047913016973,-8.326228747810184
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,45.0,17.6,-1.2983502098476791,-7.790101259086075
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,47.5,17.6,-1.206524144975814,-7.239144869854884
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,50.0,17.6,-1.1124013928196381,-6.674408356917828
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,52.5,17.6,-1.016161121387467,-6.096966728324802
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,55.0,17.6,-0.9179865295059132,-5.507919177035479
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,57.5,17.6,-0.8180644980905016,-4.908386988543009
