edge_width_deg,window_power,edge_bt_gain,edge_params,bt_mode,model_Br_rms,model_Bt_rms,Br_L2_left,Bt_L2_left,Br_L2_middle,Bt_L2_middle,Br_L2_right,Bt_L2_right,Br_L2_edge,Bt_L2_edge,Br_L2_all,Bt_L2_all,objective
12.0,1.0,0.05,closed-form,drive,0.5220211928392419,0.045689514698011933,0.054782792772027834,0.4916649335190938,0.04323153001923717,0.39734187797902526,0.05860265720510746,0.49079184023255235,0.056728750146027664,0.491227085771032,0.045573861813589335,0.4427070925356522,0.2203764067521773
13.0,0.8,0.05,closed-form,drive,0.5200900691487456,0.04678163715921147,0.07134430915709829,0.47292016786864816,0.04365754016228057,0.39577691596429276,0.07425589477559909,0.4713449000930723,0.07281760135652793,0.47213049348273556,0.049291242835941676,0.4323325482312563,0.22609379519166614
12.0,0.8,0.05,closed-form,drive,0.5240542975724551,0.045689514698011933,0.06877388287165509,0.4916649335190938,0.0432315291329677,0.39734187797902526,0.07126607016837166,0.49079184023255235,0.07003358445159404,0.491227085771032,0.04834255002949712,0.4427070925356522,0.22780178697503328
12.0,1.2,0.05,closed-form,drive,0.5202739284084175,0.045689514698011933,0.0698589106834622,0.4916649335190938,0.04323153090550735,0.39734187797902526,0.07319157186974483,0.49079184023255235,0.07154801964387862,0.491227085771032,0.04868326239014478,0.4427070925356522,0.22867255165298056
11.0,1.4,0.05,closed-form,drive,0.5234399296943347,0.04460139190269442,0.06535490379467457,0.5287426729008363,0.043231525587896884,0.3973468923742244,0.06940854906596075,0.5291912693952978,0.06741630175724844,0.5289677868756969,0.04776544683875632,0.46214757213615587,0.23311280270144782
11.0,1.2,0.05,closed-form,drive,0.5246013876220967,0.04460139190269442,0.06684649606901016,0.5287426729008363,0.043231525587896884,0.3973468923742244,0.07047418911225094,0.5291912693952978,0.06868796598131764,0.5289677868756969,0.04804396401270677,0.46214757213615587,0.23383640235382247
11.0,1.6,0.05,closed-form,drive,0.5224101518895472,0.04460139190269442,0.07432396567100191,0.5287426729008363,0.043231525587896884,0.3973468923742244,0.07809615264391805,0.5291912693952978,0.07623720975231175,0.5289677868756969,0.04976848742245847,0.46214757213615587,0.23820316108342213
13.0,1.0,0.05,closed-form,drive,0.5174968824502333,0.04678163715921147,0.09607011825137267,0.47292016786864816,0.04377141527122384,0.39577691596429276,0.0985924293085606,0.4713449000930723,0.0973419956345796,0.47213049348273556,0.05551065010364588,0.4323325482312563,0.24089674045668844
12.0,1.0,0.1,closed-form,drive,0.5220211928392419,0.05474920379712744,0.054782792772027834,0.6096974440678584,0.04323153001923717,0.39733689548664636,0.05860265720510746,0.6080521579800702,0.056728750146027664,0.6088725393743682,0.045573861813589335,0.5050832137219242,0.24220804916737249
11.0,1.0,0.05,closed-form,drive,0.5259279565783433,0.04460139190269442,0.08193174962748967,0.5287426729008363,0.043231525587896884,0.3973468923742244,0.08447747791524848,0.5291912693952978,0.08321692451685518,0.5289677868756969,0.05146349509942079,0.46214757213615587,0.24234106892797463
