current_angle_deg,current_rms_a,Ia_A,Ib_A,Ic_A,torque_one_sector_Nm,torque_total_Nm
0.0,17.6,0.0,-21.555509736491974,21.555509736491974,2.626193950316001,15.757163701896005
15.0,17.6,6.442047106606121,-24.042047106606123,17.600000000000005,2.595674801761799,15.574048810570794
30.0,17.6,12.445079348883237,-24.890158697766477,12.445079348883247,2.306484574163346,13.838907444980077
45.0,17.6,17.600000000000005,-24.042047106606123,6.442047106606128,1.732045371061696,10.392272226370176
60.0,17.6,21.55550973649197,-21.55550973649197,3.048165317948937e-15,0.9435250563257285,5.661150337954371
75.0,17.6,24.042047106606123,-17.599999999999998,-6.442047106606111,0.02482411700638287,0.1489447020382972
90.0,17.6,24.890158697766477,-12.445079348883235,-12.445079348883231,-0.8975152624515383,-5.3850915747092305
105.0,17.6,24.042047106606123,-6.442047106606114,-17.6,-1.709392966471987,-10.256357798831921
120.0,17.6,21.555509736491974,0.0,-21.555509736491967,-2.306234063691761,-13.837404382150567
135.0,17.6,17.600000000000005,6.4420471066061245,-24.042047106606123,-2.616791766285462,-15.700750597712771
150.0,17.6,12.445079348883237,12.445079348883244,-24.890158697766477,-2.645187003624572,-15.871122021747432
165.0,17.6,6.442047106606128,17.600000000000005,-24.042047106606127,-2.464533979424534,-14.787203876547203
180.0,17.6,3.048165317948937e-15,21.555509736491974,-21.55550973649198,-2.136752635804987,-12.820515814829921
